ESTACAO;UF;MUNICIPIO;NOME;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE«O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
STE;MG;BELO HORIZONTE;SANTA TEREZA;Instalado;2014-04-05 20:46:09 UTC;2020-06-23 20:28:01 UTC;-199149495;-439194501;RUA SALINAS, 1639, SANTA TEREZA, BELO HORIZONTE - MG 31015115;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;461/3, COMUTA«√ÉO / 2¬∫ANDAR, DADOS, Datacom, EST/STE/NI/NI, Metro, Newbridge, PCM, RMS, STE02_COMUTACAO-EWSD, TRANSMISS√ÉO - T√âRREO, T√âRREO-SALA PCM
STEL;CE;BARBALHA;SITIO ESTRELA;Instalado;2015-09-24 12:09:04 UTC;2015-09-24 12:09:04 UTC;-71657;-391632;0;N„o;Sala, Sala;STEL1_AXE, TRANSMISSAO - TERREO
STO;MG;BELO HORIZONTE;ESMERALDA;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-195515;-435617;0;N„o;0;0
SUL;PB;CAMPINA GRANDE;SUL;Instalado;2014-04-05 19:37:25 UTC;2014-04-05 19:37:25 UTC;-72639693;-358877976;0;N„o;Sala, Sala, Sala, Sala;Datacom, EST/SUL/NI/NI, Newbridge, TRANSMISSAO - TERREO
TAF;MG;BELO HORIZONTE;TINGASSU;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-195515;-435617;0;N„o;0;0
TDA;GO;TRINDADE;TRINDADE-SAC;Instalado;2021-08-07 19:36:39 UTC;2021-08-07 19:43:57 UTC;-166563373;-494902718;RUA DR IRANI A FERREIRA, 45, S CENTRAL, TRINDADE - GO 75388716;N„o;Sala, Sala;ANDAR/TDA/TT/01
TEB;PR;TELEMACO BORBA;TELEMACO BORBA;Instalado;2021-07-13 15:12:32 UTC;2021-07-16 11:38:29 UTC;-24327494;-506208642;RUA ANGELO DALCOL JUNIOR, 296, CENTRO, TELEMACO BORBA - PR 84261140 ;N„o;Sala, Sala, Sala, Sala;ANDAR/TEB/01/01, ANDAR/TEB/01/TX, ANDAR/TEB/TT/01, SALA TRANSMISS√ÉO
TLD;PR;TOLEDO;TLD;Instalado;2023-04-13 13:26:50 UTC;2023-08-21 18:40:26 UTC;-24738741;-53722587;RUA GETULIO VARGAS, 286, VL PIONEIRO, TOLEDO - PR 85909110 ;N„o;Sala;SALA GPON
TLG;TR;FormaÁ„o;CAEL;Instalado;2018-08-24 13:07:45 UTC;2018-08-24 13:15:21 UTC;-338012213;-5340437;0;N„o;0;0
TM;AL;MACEIO;[TM] - TABULEIRO;Instalado;2014-04-03 14:07:57 UTC;2022-07-11 19:32:22 UTC;-95825503;-357653475;AVENIDA DOUTOR DURVAL DE GOES MONTEIRO, 2002, TABULEIRO DO MARTINS, MACEIO - AL 57081285;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS, Comunicacao de Dados, Datacom, EST/TM/NI/NI, Metro, Newbridge, RMS, TAB01_COMUTACAO-TROPICO RA, TRANSMISSAO - TERREO
TMN;MG;SAO SEBASTIAO DO PARAISO;TEIXEIRA MENDES;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-20551;-465929;0;N„o;0;0
TOO;PR;TOLEDO;TOO;Instalado;2022-11-04 00:00:00 UTC;2022-12-19 19:38:26 UTC;-247317931;-537426996;RUA BENTO MUNHOZ DA ROCHA NETO, 130, JD LA SALLE, TOLEDO - PR 85902000 ;N„o;Sala, Sala, Sala;ANDAR/TOO/TT/01, ANDAR/TOO/TT/TX
TQ;TR;FormaÁ„o;TRANSMISS√ÉO;Instalado;2019-03-29 12:54:36 UTC;2019-03-29 13:14:47 UTC;-338088481;-534034909;0;N„o;0;0
TQT;TO;PALMAS;TAQUARALTO;Instalado;2016-08-21 15:07:06 UTC;2021-04-23 16:50:33 UTC;-103337176;-482962169;AVENIDA FENELON B SALLES Q 46, 000, DIS IND TAQUARALTO, PALMAS - TO 77064580 ;N„o;Sala, Sala, Sala;ANDAR/TQT/TT/01, ANDAR/TQT/TT/TX
TRDE;RS;ALVORADA;TRDE;Instalado;2023-01-07 00:00:00 UTC;2023-01-07 00:00:00 UTC;-29.99;-510836111;0;N„o;0;0
TRO;MG;BELO HORIZONTE;TRIESTE ROMA;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-195515;-435617;0;N„o;0;0
TTO;MG;TIMOTEO;TIMOTEO;Instalado;2014-04-05 20:45:49 UTC;2022-12-12 19:52:31 UTC;-195383726;-426488483;RUA SEIS DE JANEIRO, 205, CTO COMERCIAL ACESIT, TIMOTEO - MG 35180030 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/TTO/NI/NI, Metro, Newbridge, RMS, TRANSMISSAO - TERREO
UGN;RS;URUGUAIANA;URUGUAIANA;Instalado;2022-10-20 15:50:06 UTC;2023-02-23 18:30:36 UTC;-297574205;-570865818;RUA DQ DE CAXIAS, 2038, CENTRO, URUGUAIANA - RS 97501510 ;N„o;Sala, Sala, Sala, Sala, Sala;ANDAR/UGN/01/TX, ANDAR/UGN/02/TX, ANDAR/UGN/TT/TX, TX
UMCL;PR;UMUARAMA;UMUARAMA AV BRASIL, 4188;Instalado;2016-08-21 15:07:06 UTC;2022-10-11 11:58:56 UTC;-237608095;-533103624;AVENIDA BRASIL, 4188, ZONA VII, UMUARAMA - PR 99999999 ;N„o;Sala, Sala, Sala, Sala, Sala;ANDAR/UMCL/01/TX, ANDAR/UMCL/TT/01, ANDAR/UMCL/TT/TX, EST/UMCL/NI/NI, SALA TRANSMISSAO
UNAR;RJ;CABO FRIO;UNAMAR;Instalado;2014-04-05 20:53:08 UTC;2018-12-26 12:12:57 UTC;-226402709;-420033632;RODOVIA AMARAL PEIXOTO, SN, UNAMAR, CABO FRIO - RJ 28929332;N„o;Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/UNAR/NI/NI, MODEM OPTICO FICTICIO, Metro, TRANSMISSAO - 1 ANDAR
UVA;SC;PORTO UNIAO;UVA;Instalado;2023-03-02 00:00:00 UTC;2023-03-02 00:00:00 UTC;-26.23;-510863889;0;N„o;Sala;ANDAR/UVA/TT/TX
VAI;RS;VENANCIO AIRES;VAI;Instalado;2022-11-04 00:00:00 UTC;2022-12-14 19:22:19 UTC;-29610089;-521938407;RUA VLTOS DA PATRIA, 1116, CENTRO, VENANCIO AIRES - RS 95800000 ;N„o;Sala, Sala, Sala;ANDAR/VAI/01/TX, ANDAR/VAI/TT/TX
VAJG;MT;VARZEA GRANDE;VAJG;Instalado;2021-03-11 22:30:00 UTC;2021-03-19 19:18:17 UTC;-156418587;-561598328;RUA DO AMOR, 346, SALA 1, JD GLORIA II, VARZEA GRANDE - MT 78141016 ;N„o;Sala, Sala, Sala, Sala;ANDAR/VAJG/1/TX, ANDAR/VAJG/TT/01
VAJU;SE;ARACAJU;VAJU- ACQUISITION_AJU;Instalado;2025-09-30 12:51:13 UTC;2025-12-16 17:36:10 UTC;-109173996;-370503594;RUA ITABAIANA, 378, CENTRO, ARACAJU - SE 49010170 ;N„o;0;0
VALP;RS;PORTO ALEGRE;VALP- ACQUISITION_ALP;Instalado;2025-09-23 19:35:33 UTC;2026-05-05 16:21:16 UTC;-300389679;-511535877;AVENIDA SATURNINO DE BRITO, 267, VILA JARDIM, PORTO ALEGRE - RS 91320000 ;N„o;Sala;0
VAO;RS;VIAMAO;VIAM√ÉO;Instalado;2018-10-08 19:51:09 UTC;2020-08-05 12:56:20 UTC;-30081269;-510248593;RUA JULIETA PINTO CESAR, 53, CENTRO, VIAMAO - RS 94410080 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala;ANDAR/VAO/01/CD, ANDAR/VAO/01/TX, EST/VAO/NI/NI
VAPL;MT;VARZEA GRANDE;TEL PRQ DO LAG;Instalado;2016-08-21 15:07:06 UTC;2021-06-29 21:53:51 UTC;-156652594;-560916965;RUA MORADA NOVA LOT PRQ LAGO, 570, SALA 1, PQ DO LAGO, VARZEA GRANDE - MT 78120690 ;N„o;Sala, Sala;ANDAR/VAPL/TT/01
VBR;PA;BELEM;VBR;Instalado;2022-03-29 14:48:28 UTC;2022-03-29 14:48:28 UTC;-79;-179;0;N„o;Sala;EST/VBR/NI/NI
VCA;BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;Instalado;2014-04-03 00:00:00 UTC;2023-12-20 13:15:03 UTC;-14852517;-408373479;RUA SIQUEIRA CAMPOS, 120, CENTRO, VITORIA DA CONQUISTA - BA 45000455 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CEF1, Datacom, EST/VCA/NI/NI, HUAWEI - NGN / 1 ANDAR, Metro, NEWBRIDGE - 1 ANDAR, Newbridge, RADIO ll, RMS, TRANSMISSAO, TRANSMISSAO - 1 ANDAR, TRANSMISSAO - TERREO, TRANSMISS√ÉO - TERREO, VCA01_COMUTACAO-AXE, VCA01_ELL_COMUTACAO-AXE
VFA;MG;IPATINGA;VILA FORMOSA ACESITA;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-19286;-423212;0;N„o;0;0
VHS;MA;SAO LUIS;VHS-SAOLUIS;Instalado;2019-10-02 20:20:29 UTC;2022-03-24 20:49:23 UTC;-25194881;-442489436;AVENIDA DANIEL DE LA TOUCHE, 31, COHAMA, SAO LUIS - MA 65070971;N„o;Sala, Sala;EST/VHS/NI/NI
VIB;RJ;RIO DE JANEIRO;VILA ISABEL;Instalado;2014-04-05 20:53:01 UTC;2019-07-08 19:34:30 UTC;-229191814;-432521418;RUA TEODORO DA SILVA, 709, VILA ISABEL, RIO DE JANEIRO - RJ 20560060;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, Datacom, EST/VIB/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, TRANSMISSAO - 2 ANDAR, TRANSMISS√ÉO - 1¬∞ AND
VIC1;RJ;NITEROI;SITE AQUISITION-NRI-VIC1;Instalado;2024-11-11 13:40:06 UTC;2025-06-03 13:31:47 UTC;-228937123;-431205185;AVENIDA ERNANI DO AMARAL PEIXOTO, 300, CENTRO, NITEROI - RJ 24020975 ;N„o;0;0
VIC2;RJ;NITEROI;SITE AQUISITION-NRI-VIC2;Instalado;2024-11-11 13:46:05 UTC;2025-06-03 14:00:08 UTC;-22916854;-430848884;AVENIDA RUI BARBOSA, 400, SAO FRANCISCO, NITEROI - RJ 24360440 ;N„o;0;0
VICI;SC;BRUSQUE;VILA CIROPOLIS;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-27514;-485217;0;N„o;0;0
VIGA;PR;LONDRINA;VIGA;Instalado;2022-11-04 00:00:00 UTC;2022-11-04 00:00:00 UTC;-233102778;-511627778;0;N„o;0;0
VIMU;RJ;MANGARATIBA;VILA MURIQUI I;Instalado;2014-04-05 20:53:10 UTC;2022-10-11 20:41:37 UTC;-22924564;-439480312;RUA RIO DE JANEIRO, 236, CENTRO, MANGARATIBA - RJ 23870000 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, Datacom, EST/VIMU/NI/NI, Metro, Newbridge, TERREO - TX, TRANSMISSAO - 2 ANDAR, TRANSMISS√ÉO, VIM01_CX_ ZETAX - 2 ANDAR
VITE;RJ;SAO JOAO DE MERITI;VILAR DOS TELES I;Instalado;2014-04-05 20:53:17 UTC;2014-04-05 20:53:17 UTC;-227749544;-433611257;AVENIDA AUTOMOVEL CLUBE, 2533, JD JOSE BONIFACIO, SAO JOAO DE MERITI - RJ 25565171;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;2¬∫ ANDAR / TX, COMUNICACAO DE DADOS 2 ANDAR, Datacom, EST/VITE/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RADIOS ANATEL, SALA GPON, TRANSMISSAO-TERREO
VLC;RJ;VALENCA;VALENCA I;Instalado;2014-04-05 20:53:08 UTC;2021-06-01 10:26:01 UTC;-222466108;-437039299;AVENIDA NILO PECANHA, 504, CENTRO, VALENCA - RJ 27600246;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 1 ANDAR, CX_ZETAX_VLCO1-3 ANDAR, Datacom, EST/VLC/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, TRANSMISSAO - 2 ANDAR, VLC01_COMUTACAO-S12
VLES;RS;CACHOEIRINHA;VL ESPERANCA;Instalado;2016-08-21 15:07:06 UTC;2022-11-30 19:53:55 UTC;-299101323;-510739848;AVENIDA VER MANOEL G JUNIOR, 622, VILA FATIMA, CACHOEIRINHA - RS 94955460 ;N„o;Sala, Sala;ANDAR/VLES/01/TX, TX
VLG;SP;CAMPINAS;VTAL VILA GEORGINA;Instalado;2022-05-05 15:16:34 UTC;2023-01-09 20:13:57 UTC;-229341;-4703038;AVENIDA AUGUSTO FIGUEIREDO, 1444, VILA SANTA ODILA, CAMPINAS - SP 13045603 ;N„o;Sala;SALA TX
VLP;GO;GOIANIA;GOIANIA VL PEDROSO-SAC;Instalado;2016-08-21 15:07:06 UTC;2021-04-23 20:12:08 UTC;-16660676;-49186459;RUA EXP Q X4, 000, VILA CONCORDIA, GOIANIA - GO 74770340 ;N„o;Sala, Sala, Sala, Sala;ANDAR/VLP/TT/01, ANDAR/VLP/TT/TX, EST/VLP/NI/NI
VMPB;RJ;ARMACAO DOS BUZIOS;MARINA PORTO B√öZIOS;Instalado;2025-10-22 12:22:17 UTC;2026-03-27 13:50:25 UTC;-22757444;-41957861;AVENIDA JOSE BENTO RIBEIRO DANTAS, 9, MARINA, ARMACAO DOS BUZIOS - RJ 28957880 ;N„o;Sala;TRANSMISS√ÉO
VMSN;SP;SAO PAULO;VILA MARIA SALA NOVISSIMA;Instalado;2021-03-11 12:09:14 UTC;2021-04-19 19:31:42 UTC;-235187691;-46585441;RUA AMAMBAI, 1102, VILA MARIA, SAO PAULO - SP 2115001;N„o;Sala, Sala;EST/VMSN/NI/NI, TX
VNB;SP;GUARULHOS;VTAL VILA NOVA BONSUCESSO;Instalado;2023-01-14 13:08:58 UTC;2023-04-14 19:47:26 UTC;-23405512;-464053942;RUA ANTONIO TAVA, 700, VILA NOVA BONSUCESSO, GUARULHOS - SP 7175050 ;N„o;Sala;SALA TX
VNO;MG;BELO HORIZONTE;VENDA NOVA;Instalado;2015-08-21 15:07:06 UTC;2020-04-29 19:03:02 UTC;-198124955;-439626752;RUA PADRE PEDRO PINTO, 1460, VENDA NOVA, BELO HORIZONTE - MG 31615310;N„o;Sala, Sala, Sala;EST/VNO/NI/NI
VNR;RS;PORTO ALEGRE;VNR-VILA NOVA RESTINGA;Instalado;2018-10-16 19:24:10 UTC;2020-09-09 11:41:29 UTC;-301575983;-511453354;AVENIDA JOAO ANTONIO SILVEIRA, 1340, RESTINGA, PORTO ALEGRE - RS 91790512;N„o;Sala, Sala, Sala;ANDAR/VNR/01/TX, ANDAR/VNR/TT/TX
VPCA;MG;BELO HORIZONTE;VILA PINHO COLETORA;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-195515;-435617;0;N„o;0;0
VPN;MG;VESPASIANO;VESPASIANO;Instalado;2014-04-05 20:46:01 UTC;2019-01-08 12:04:40 UTC;-196929837;-439246712;RUA NOSSA SENHORA LOURDES, 337, LOURDES, VESPASIANO - MG 33200560;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUTACAO, DG, Datacom, EST/VPN/NI/NI, Metro, TRANSMISSAO, TRANSMISS√ÉO, Transmiss„o
VPOL;BA;SALVADOR;VPOL- ACQUISITION_POLA;Instalado;2025-09-19 10:58:36 UTC;2025-09-19 11:02:37 UTC;-13007066;-38518941;RUA DESEMBARGADOR EZEQUIEL PONDE, 111, JD APIPEMA, SALVADOR - BA 40155050 ;N„o;0;0
VPT;PB;JOAO PESSOA;VISCONDE DE PELOTAS;Instalado;2014-04-05 19:37:25 UTC;2021-02-03 18:36:47 UTC;-71189627;-348830219;RUA VISCONDE DE PELOTAS, 259, CENTRO, JOAO PESSOA - PB 58013000;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;599, ALCATEL - NGN /, CX_VPT01_NEAX61BR, DG / TERREO, Datacom, EST/VPT/NI/NI, HUAWEI - NGN /  3 ANDAR, Metro, NEAX / 2¬∫ ANDAR, Newbridge, PTS 7IP / TROPICO / 4 ANDAR, RICD, RICD / 4 ANDAR, RMS, SERVIDOR / 3 ANDAR, TRANSMISSAO  / 2 ANDAR, TRANSMISS√ÉO, TRANSMISS√ÉO - 1¬∞AND, TX, TX / 2¬∫ANDAR
VSCD;RJ;RIO DE JANEIRO;VSCD_ACQUISITION_SCD;Instalado;2025-10-29 18:07:12 UTC;2025-10-29 18:37:04 UTC;-229946321;-432578937;ESTRADA DA GAVEA, 696, SAO CONRADO, RIO DE JANEIRO - RJ 22610002 ;N„o;0;0
VSDA;BA;LAURO DE FREITAS;VILAS DO ATLANTICO;Instalado;2014-04-03 14:07:59 UTC;2019-09-07 10:04:08 UTC;-128807123;-383117502;AVENIDA SANTOS DUMONT, S/N, CENTRO, LAURO DE FREITAS - BA 42702902;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CX / 1¬∫ANDAR, Datacom, EST/VSDA/NI/NI, Metro, Newbridge, TRANSMISSAO - 1 ANDAR
VSI;MG;POUSO ALEGRE;VICENTE SIMOES;Instalado;2015-08-21 15:07:06 UTC;2015-08-21 15:07:06 UTC;-221348;-455611;0;N„o;0;0
VVA;RJ;RIO DE JANEIRO;VILA VALQUEIRE;Instalado;2014-04-05 20:53:07 UTC;2014-04-05 20:53:07 UTC;-228815405;-433669749;RUA DAS CAMELIAS, 466, VILA VALQUEIRE, RIO DE JANEIRO - RJ 21330200;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COM. DE DADOS 1AND.(CONTER1), DG/TRANSMISSAO-CONTAINER 1, Datacom, EST/VVA/NI/NI, Metro, Newbridge, TRANSMISSAO - CONTAINER 2, TRANSMISSAO - TERREO, TROPICO R - 2453 / CONTAINNER, VVA01_CX_TROPICO RA, ZTX-610 / 2470 / 1 ANDAR
VZA;GO;GOIANIA;GOIANIA VL ALZIRA-SAC;Instalado;2016-08-21 15:07:06 UTC;2016-08-21 15:07:06 UTC;-22988;-431519;0;N„o;Sala, Sala;ANDAR/VZA/TT/01
XERE;RJ;DUQUE DE CAXIAS;XEREM I;Instalado;2014-04-05 20:53:14 UTC;2023-07-03 21:34:28 UTC;-225999493;-433033343;RUA TREZE DE JUNHO, 46, VILA SANTA ALICE, DUQUE DE CAXIAS - RJ 25250280 ;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 1 ANDAR, DG/TRANSMISS√ÉO - 1¬∫, Datacom, EST/XERE/NI/NI, MODEM FICTICIO, Metro, Newbridge, TRANSMISSAO-TERREO, TRANSMISS√ÉO, XER01_COMUTACAO_TROPICO-R
ZIC;RJ;RIO DE JANEIRO;ZONA INDUSTRIAL DE CAMPO GRANDE;Instalado;2014-04-05 20:53:07 UTC;2022-06-01 16:19:11 UTC;-228708496;-435540737;ESTRADA DO MENDANHA, 1069, CAMPO GRANDE, RIO DE JANEIRO - RJ 23087286;N„o;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 1 ANDAR, DG/TRANSMISSAO - 1 ANDAR, Datacom, ELR-II / CGD-    / AXE/1ANDAR, EST/ZIC/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge
